Codmundv			1302603,	1501402,	2111300,	2211001,	2304400,	2408102,	2507507,	2611606,	2704302,	2800308,	2927408,	3106200,	3205309,	3304557,	3509502,	3550308,	4106902,	4205407,	4314902,	5002704,	5103403,	5208707,	5300108,
		Cidade		MANAUS,		BELÉM,		SÃO LUÍS,	TERESINA,	FORTALEZA,	NATAL,		JOÃO PESSOA,	RECIFE, 	MACEIÓ, 	ARACAJU,	SALVADOR,	BELO HORIZONTE,	VITÓRIA,	RIO DE JANEIRO,	CAMPINAS,	SÃO PAULO,	CURITIBA,	FLORIANÓPOLIS,	PORTO ALEGRE,	CAMPO GRANDE,	CUIABÁ, 	GOIÂNIA,	BRASÍLIA,
3104007,	ARAXÁ,		07.20,         	06.15,         	08.25,         	07.49,         	07.44,         	07.15,         	05.40,         	06.20,         	07.55,         	09.05,         	06.32,         	00.50,         	06.16,         	03.10,         	05.25,         	01.20,         	04.58,         	06.39,         	05.02,         	06.37,         	04.40,         	05.42,         	04.14,         
3106200,	BELO HORIZONTE,	02.35,         	04.22,         	02.51,         	04.10,         	02.54,         	02.50,         	03.26,         	02.13,         	03.06,         	01.56,         	01.29,         	-1,            	00.55,         	00.48,         	01.12,         	01.02,         	01.33,         	01.41,         	02.07,         	02.38,         	02.10,         	01.20,         	01.11,         
3127701,	GOVERNADOR VALADARES,	08.50,         	07.30,         	09.35,         	09.35,         	06.57,         	09.05,         	08.27,         	07.05,         	08.45,         	08.00,         	05.55,         	00.50,         	00.50,         	02.13,         	02.50,         	02.35,         	04.21,         	06.20,         	06.15,         	06.52,         	05.40,         	05.45,         	06.06,         
3131307,	IPATINGA,	14.50,         	12.05,         	-1,            	-1,            	-1,            	-1,            	-1,            	05.40,         	-1,            	08.20,         	05.00,         	00.35,         	01.35,         	02.58,         	02.50,         	01.50,         	06.01,         	07.22,         	07.55,         	06.25,         	05.55,         	06.40,         	05.25,         
3136702,	JUIZ DE FORA,	06.15,         	08.00,         	08.00,         	09.00,         	06.57,         	07.10,         	06.50,         	06.15,         	07.25,         	06.50,         	04.50,         	00.50,         	03.55,         	00.35,         	05.09,         	01.40,         	02.47,         	06.15,         	04.07,         	03.50,         	04.03,         	03.30,         	03.42,         
3143302,	MONTES CLAROS,	06.05,         	06.55,         	05.24,         	08.15,         	06.25,         	08.00,         	07.05,         	04.27,         	05.20,         	04.05,         	01.15,         	00.48,         	02.45,         	04.25,         	03.00,         	02.45,         	04.20,         	05.00,         	05.57,         	05.50,         	04.40,         	03.25,         	03.00,         
3170107,	UBERABA,	05.25,         	08.32,         	07.30,         	07.00,         	05.10,         	07.15,         	07.50,         	06.08,         	07.35,         	06.50,         	04.54,         	01.00,         	08.22,         	04.22,         	10.05,         	05.20,         	08.09,         	03.40,         	04.35,         	03.10,         	03.20,         	03.35,         	01.52,         
3170206,	UBERLÂNDIA,	04.40,         	07.10,         	06.45,         	06.30,         	04.25,         	06.30,         	05.05,         	04.59,         	06.40,         	06.05,         	03.14,         	00.55,         	04.40,         	01.24,         	04.28,         	01.05,         	03.05,         	03.50,         	04.37,         	03.50,         	01.52,         	00.27,         	00.43,         
3205309,	VITÓRIA,	04.30,         	05.05,         	04.58,         	07.30,         	04.55,         	05.03,         	07.45,         	04.22,         	04.58,         	04.00,         	02.40,         	01.00,         	-1,            	00.55,         	02.39,         	01.12,         	03.12,         	03.32,         	04.07,         	02.37,         	03.30,         	02.47,         	01.38,         
3302403,	MACAÉ,		12.50,         	13.10,         	13.55,         	13.19,         	10.45,         	12.15,         	12.35,         	09.21,         	11.25,         	11.35,         	04.47,         	02.06,         	01.30,         	00.47,         	09.00,         	06.31,         	04.37,         	05.52,         	07.33,         	12.07,         	07.30,         	04.07,         	05.36,         
